Código;Produto;Valor Unitário
16018753;TESOURA 18CM CAB PP TRAMONTINA/25950/147;101,75
16018754;GRAMPEADOR MESA SERTIC/HS3000;562,7
16018755;EXTRATOR GRAMP JAC AC CROM;20,97
16018756;GRAMPO P/GRAMP 26/6 A C GV EMB 5000 UNID;18,03
16018757;GRAMPO P/GRAMP 24/6 A C GV;0
16018758;GRAMPO P/GRAMP 23/6 AC GV EMB 1000 UNID;18,98
16018759;LACRE ESP PEIX NY AZ COMP 230MM S/ARAM;280
16018760;FITA INC 3M/SCOTCHFITAMAGICA12X10000MM;16,29
16018761;FITA ADES PP 48MM 50M VONDER/1011034850;0
16018762;FITA ADES CREP BG 50MM 0,16MM 50M;6,78
16018763;COLA BAST EMB 40G;0
16018765;FITA ADES SILVER TAPE DT8 50X50MM 3M;180,57
16018766;APARELHO DISP P/FIT ADES 19X25,40MM 3POL;0
16018767;PASTA SANF 12DIV PLASCONY/SME12PINCOLOR;34,1
16018768;PASTA ABA C/ELAST PP INC 350X235MM;0
16018769;PASTA FICH PP RS LOMB 80MM 210X297MM;59,2
16018770;ORGANIZADOR DOC A C 3DIV 340X340X280MM;205,19
16018771;PORTA-LAPIS/CANETA SIMP AC PT CIRC 9CM;40,86
16018772;ELASTICO LAT N.16 FINO AM EMB 1KG;58,63
16018773;LIXEIRA CONIC A C PT 230X260MM 8,5L;0
16018774;ENCADERNADORA MAN P/ESP MENNO/135304091;0
16018775;LAMINADORA QUENT 110V MARES/330C110V;0
16018776;CALCULADORA PORT CIENTIF CASIO/FX82MS;0
16018777;QUADRO BR MAGN S/MOLD 300X450MM S/CAVAL;0
16018778;ESTILETE RETR LARG AM/PT VONDER/ES21818;32,8
16018779;LAMINA P/ESTIL AC LARG 108X18X0,40MM;0
16018780;ENVELOPE PLAST P/FICH SIMP 235X305MM;0
16018781;ESPIRAL P/ENCAD PLAST 16MM UNID;0
16018782;ESPIRAL P/ENCAD PLAST 8MM UNID;0
16018783;ESPIRAL P/ENCAD PLAST 22MM UNID;0
16018784;ALFINETE P/MAP CAB TACA A C EMB 60 UNID;22,75
16018785;REFIL T-KLAR/POLASEALA4220X307MM100UND;324
16018791;DIVISORIA P/PAST PLAST VM 231X310MM LI;0
16018792;ENVELOPE PAP KRAFT NAT PD 100X150MM;0
16018793;ENVELOPE PAP KRAFT NAT PD 180X250MM;0
16018794;GUILHOTINA P/CORT PAP CABLEMATIC/OF031;289,28
16018795;ESPIRAL P/ENCAD PLAST 32MM UNID;0
16018801;CADEIRA ESCR DIVERSOS/LMSBE8436T3PRETA;3590
16018855;PING PONG CJ VOLLO SPORTS/563120701701;0
16018861;BOLA TEN MESA PS LJ 38MM EMB 48 UNID;90
16018863;PING PONG CJ VOLLO SPORTS/563120701701;0
16018867;ESPIRAL P/ENCAD PLAST 9MM EMB 100 UNID;0
16018868;ESPIRAL P/ENCAD PLAST 17MM EMB 100 UNID;0
16018869;MARCADOR PERMAN PT RED 4-8,50MM UNID;99
16018870;MARCADOR PERMAN BR RED 4-8,50MM UNID;99
16018871;MARCADOR PERMAN BR RED 2,20-2,80MM UNID;57
16018872;MARCADOR PERMAN PT RED 2,20-2,80MM UNID;57
16018874;CAPA P/ENCAD PP 212X299MM CRIST;0
16018875;CAPA P/ENCAD PP 212X299MM PT;0
16018929;PLASTIFICADORA 110V BR CETRO/4TVKSVKBE;1006,5
16019441;ARMARIO HORIZ INOX 2 PORT 1500X600X400MM;11866,92
